Date,Open,High,Low,Close,adj_close,Volume
1/2/1990,1.258929,1.339286,1.25,1.330357,0.121528,45799600
1/3/1990,1.357143,1.357143,1.339286,1.339286,0.122343,51998800
1/4/1990,1.366071,1.383929,1.330357,1.34375,0.122751,55378400
1/5/1990,1.348214,1.366071,1.321429,1.348214,0.123159,30828000
1/8/1990,1.339286,1.357143,1.321429,1.357143,0.123974,25393200
1/9/1990,1.357143,1.357143,1.321429,1.34375,0.122751,21534800
1/10/1990,1.34375,1.34375,1.276786,1.285714,0.117449,49929600
1/11/1990,1.294643,1.294643,1.232143,1.232143,0.112556,52763200
1/12/1990,1.223214,1.241071,1.205357,1.232143,0.112556,42974400
1/15/1990,1.232143,1.276786,1.223214,1.223214,0.11174,40434800
1/16/1990,1.196429,1.25,1.169643,1.245536,0.113779,53561200
1/17/1990,1.241071,1.241071,1.178571,1.1875,0.108478,49324800
1/18/1990,1.178571,1.196429,1.151786,1.15625,0.105623,68322800
1/19/1990,1.205357,1.232143,1.196429,1.223214,0.11174,66284400
1/22/1990,1.214286,1.232143,1.1875,1.1875,0.108478,36402800
1/23/1990,1.205357,1.223214,1.178571,1.205357,0.110109,35218400
1/24/1990,1.160714,1.223214,1.151786,1.214286,0.110925,42448000
1/25/1990,1.223214,1.241071,1.214286,1.21875,0.111332,27885200
1/26/1990,1.214286,1.214286,1.151786,1.169643,0.106846,45312400
1/29/1990,1.178571,1.196429,1.147321,1.1875,0.108478,29982400
1/30/1990,1.1875,1.232143,1.178571,1.214286,0.110925,29111600
1/31/1990,1.232143,1.241071,1.178571,1.214286,0.110925,35985600
2/1/1990,1.232143,1.236607,1.196429,1.200893,0.109701,29268400
2/2/1990,1.1875,1.241071,1.1875,1.223214,0.11174,29618400
2/5/1990,1.223214,1.258929,1.214286,1.25,0.114187,25438000
2/6/1990,1.241071,1.25,1.214286,1.241071,0.113371,18480000
2/7/1990,1.178571,1.214286,1.160714,1.1875,0.108478,78111600
2/8/1990,1.1875,1.196429,1.151786,1.178571,0.107662,46659200
2/9/1990,1.196429,1.232143,1.1875,1.223214,0.11174,42019600
2/12/1990,1.223214,1.232143,1.205357,1.214286,0.110925,18729200
2/13/1990,1.214286,1.25,1.205357,1.232143,0.112556,25541600
2/14/1990,1.232143,1.241071,1.205357,1.223214,0.11174,24015600
2/15/1990,1.205357,1.223214,1.196429,1.223214,0.11174,24491600
2/16/1990,1.223214,1.232143,1.205357,1.205357,0.120989,31802400
2/20/1990,1.196429,1.205357,1.178571,1.196429,0.120093,30811200
2/21/1990,1.169643,1.223214,1.160714,1.214286,0.121885,43976800
2/22/1990,1.214286,1.232143,1.178571,1.178571,0.1183,48795600
2/23/1990,1.169643,1.196429,1.169643,1.1875,0.119197,37489200
2/26/1990,1.178571,1.223214,1.178571,1.214286,0.121885,19902400
2/27/1990,1.214286,1.223214,1.196429,1.196429,0.120093,18488400
2/28/1990,1.196429,1.214286,1.1875,1.214286,0.121885,27333600
3/1/1990,1.196429,1.241071,1.1875,1.223214,0.122782,50974000
3/2/1990,1.196429,1.241071,1.1875,1.205357,0.120989,26224800
3/5/1990,1.196429,1.241071,1.196429,1.232143,0.123678,45617600
3/6/1990,1.25,1.258929,1.232143,1.258929,0.126366,39004000
3/7/1990,1.25,1.285714,1.25,1.263393,0.126814,51055200
3/8/1990,1.276786,1.321429,1.25,1.3125,0.131744,55960800
3/9/1990,1.3125,1.339286,1.294643,1.316964,0.132192,57618400
3/12/1990,1.330357,1.339286,1.294643,1.308036,0.131296,40989200
3/13/1990,1.303571,1.330357,1.294643,1.316964,0.132192,37144800
3/14/1990,1.3125,1.330357,1.303571,1.321429,0.13264,25446400
3/15/1990,1.303571,1.357143,1.303571,1.3125,0.131744,30058000
3/16/1990,1.428571,1.455357,1.397321,1.4375,0.144291,161190400
3/19/1990,1.446429,1.517857,1.428571,1.513393,0.151908,107948400
3/20/1990,1.508929,1.535714,1.455357,1.477679,0.148324,97829200
3/21/1990,1.473214,1.508929,1.473214,1.486607,0.14922,38183600
3/22/1990,1.491071,1.508929,1.455357,1.455357,0.146083,57915200
3/23/1990,1.473214,1.535714,1.464286,1.508929,0.15146,56996800
3/26/1990,1.517857,1.549107,1.5,1.508929,0.15146,32015200
3/27/1990,1.5,1.508929,1.473214,1.5,0.150564,21151200
3/28/1990,1.5,1.504464,1.464286,1.473214,0.147876,25734800
3/29/1990,1.464286,1.482143,1.455357,1.46875,0.147427,24222800
3/30/1990,1.428571,1.464286,1.428571,1.4375,0.144291,55837600
4/2/1990,1.428571,1.450893,1.410714,1.4375,0.144291,37192400
4/3/1990,1.446429,1.491071,1.446429,1.491071,0.149668,34927200
4/4/1990,1.482143,1.5,1.455357,1.473214,0.147876,37433200
4/5/1990,1.464286,1.473214,1.428571,1.4375,0.144291,27048000
4/6/1990,1.4375,1.473214,1.419643,1.424107,0.142946,29559600
4/9/1990,1.419643,1.482143,1.410714,1.46875,0.147427,26370400
4/10/1990,1.473214,1.5,1.464286,1.473214,0.147876,32830000
4/11/1990,1.482143,1.535714,1.482143,1.517857,0.152357,53289600
4/12/1990,1.535714,1.571429,1.517857,1.544643,0.155045,52950800
4/16/1990,1.553571,1.580357,1.544643,1.5625,0.156838,56722400
4/17/1990,1.544643,1.553571,1.526786,1.544643,0.155045,32776800
4/18/1990,1.544643,1.5625,1.517857,1.544643,0.155045,48361600
4/19/1990,1.491071,1.540179,1.428571,1.4375,0.144291,120369200
4/20/1990,1.459821,1.482143,1.419643,1.4375,0.144291,80880800
4/23/1990,1.4375,1.446429,1.410714,1.419643,0.142498,32088000
4/24/1990,1.428571,1.446429,1.375,1.383929,0.138913,75933200
4/25/1990,1.383929,1.392857,1.366071,1.383929,0.138913,33143600
4/26/1990,1.392857,1.410714,1.361607,1.388393,0.139361,35540400
4/27/1990,1.392857,1.410714,1.383929,1.397321,0.140258,29103200
4/30/1990,1.401786,1.419643,1.392857,1.40625,0.141154,34098400
5/1/1990,1.419643,1.428571,1.40625,1.415179,0.14205,40902400
5/2/1990,1.419643,1.428571,1.401786,1.419643,0.142498,33857600
5/3/1990,1.419643,1.4375,1.419643,1.428571,0.143395,41577200
5/4/1990,1.428571,1.455357,1.401786,1.428571,0.143395,42383600
5/7/1990,1.419643,1.491071,1.419643,1.482143,0.148772,33997600
5/8/1990,1.464286,1.5,1.464286,1.491071,0.149668,28114800
5/9/1990,1.486607,1.5,1.473214,1.495536,0.150116,24309600
5/10/1990,1.491071,1.491071,1.446429,1.477679,0.148324,44760800
5/11/1990,1.477679,1.526786,1.455357,1.522321,0.152805,53810400
5/14/1990,1.526786,1.526786,1.473214,1.491071,0.149668,56596400
5/15/1990,1.477679,1.5,1.464286,1.491071,0.149668,37346400
5/16/1990,1.491071,1.491071,1.464286,1.486607,0.14922,21826000
5/17/1990,1.491071,1.508929,1.464286,1.482143,0.148772,38396400
5/18/1990,1.473214,1.482143,1.410714,1.419643,0.142498,64615600
5/21/1990,1.410714,1.428571,1.383929,1.410714,0.153496,65620800
5/22/1990,1.433036,1.482143,1.428571,1.477679,0.160782,75272400
5/23/1990,1.473214,1.517857,1.473214,1.5,0.16321,51878400
5/24/1990,1.508929,1.508929,1.482143,1.5,0.16321,37032800
5/25/1990,1.410714,1.455357,1.392857,1.428571,0.155439,80830400
5/29/1990,1.428571,1.473214,1.401786,1.464286,0.159324,60802000
5/30/1990,1.486607,1.491071,1.473214,1.477679,0.160782,69204800
5/31/1990,1.482143,1.482143,1.464286,1.473214,0.160296,25771200
6/1/1990,1.477679,1.5,1.455357,1.455357,0.158353,39309200
6/4/1990,1.455357,1.464286,1.419643,1.455357,0.158353,44856000
6/5/1990,1.464286,1.464286,1.392857,1.410714,0.153496,74858000
6/6/1990,1.392857,1.410714,1.383929,1.410714,0.153496,52936800
6/7/1990,1.410714,1.419643,1.375,1.392857,0.151553,46608800
6/8/1990,1.375,1.375,1.339286,1.366071,0.148638,83470800
6/11/1990,1.348214,1.392857,1.348214,1.392857,0.151553,39474400
6/12/1990,1.397321,1.446429,1.383929,1.446429,0.157381,41258000
6/13/1990,1.441964,1.455357,1.419643,1.419643,0.154467,34736800
6/14/1990,1.428571,1.4375,1.401786,1.419643,0.154467,35081200
6/15/1990,1.419643,1.428571,1.397321,1.410714,0.153496,36036000
6/18/1990,1.401786,1.410714,1.392857,1.401786,0.152524,27848800
6/19/1990,1.392857,1.419643,1.370536,1.415179,0.153981,39306400
6/20/1990,1.424107,1.4375,1.419643,1.428571,0.155439,38684800
6/21/1990,1.428571,1.5,1.428571,1.495536,0.162725,52150000
6/22/1990,1.5,1.522321,1.473214,1.482143,0.161267,70994000
6/25/1990,1.482143,1.491071,1.4375,1.473214,0.160296,30500400
6/26/1990,1.491071,1.5,1.441964,1.450893,0.157867,31813600
6/27/1990,1.455357,1.5,1.4375,1.482143,0.161267,24306800
6/28/1990,1.526786,1.544643,1.491071,1.535714,0.167096,62484800
6/29/1990,1.535714,1.602679,1.526786,1.598214,0.173897,81298000
